Datetime,Buy,Sell,Transfer
1681799495000,"3351.2","3496.11","3385.05"
1681800363000,"3351.2","3496.11","3385.05"
1681801129000,"3351.2","3496.11","3385.05"
1681802286000,"3351.2","3496.11","3385.05"
1681803053000,"3351.2","3496.11","3385.05"
1681803817000,"3351.2","3496.11","3385.05"
1681804600000,"3351.2","3496.11","3385.05"
1681806267000,"3351.2","3496.11","3385.05"
1681807099000,"3351.2","3496.11","3385.05"
1681807892000,"3351.2","3496.11","3385.05"
1681809070000,"3351.2","3496.11","3385.05"
1681811059000,"3351.2","3496.11","3385.05"
1681811833000,"3351.2","3496.11","3385.05"
1681813280000,"3351.2","3496.11","3385.05"
1681814084000,"3351.2","3496.11","3385.05"
1681814847000,"3351.2","3496.11","3385.05"
1681815625000,"3351.2","3496.11","3385.05"
1681816646000,"3351.2","3496.11","3385.05"
1681817420000,"3351.2","3496.11","3385.05"
1681818197000,"3351.2","3496.11","3385.05"
1681818969000,"3351.2","3496.11","3385.05"
1681821440000,"3351.2","3496.11","3385.05"
1681822827000,"3351.2","3496.11","3385.05"
1681824330000,"3351.2","3496.11","3385.05"
1681825113000,"3351.2","3496.11","3385.05"
1681825888000,"3351.2","3496.11","3385.05"
1681827133000,"3351.2","3496.11","3385.05"
1681828509000,"3351.2","3496.11","3385.05"
1681829295000,"3351.2","3496.11","3385.05"
1681830384000,"3351.2","3496.11","3385.05"
1681831643000,"3351.2","3496.11","3385.05"
1681832414000,"3351.2","3496.11","3385.05"
1681833182000,"3351.2","3496.11","3385.05"
1681834564000,"3351.2","3496.11","3385.05"
